date       pm25
01.07.2015     40
02.07.2015     44
03.07.2015     52
04.07.2015     62
05.07.2015     71
06.07.2015     60
07.07.2015     50
08.07.2015     42
09.07.2015     34
10.07.2015     36
11.07.2015     42
12.07.2015     51
13.07.2015     36
14.07.2015     34
15.07.2015     41
16.07.2015     47
17.07.2015     62
18.07.2015     59
19.07.2015     56
20.07.2015     43
21.07.2015     50
22.07.2015     41
23.07.2015     46
24.07.2015     54
25.07.2015     58
26.07.2015     25
27.07.2015     45
28.07.2015     38
29.07.2015     39
30.07.2015     29
31.07.2015     41
01.08.2015     49
02.08.2015     57
03.08.2015     68
04.08.2015     81
05.08.2015     55
06.08.2015     59
07.08.2015     82
08.08.2015     75
09.08.2015   65
10.08.2015   74
11.08.2015   75
12.08.2015   81
13.08.2015   62
14.08.2015   63
15.08.2015   75
16.08.2015   67
17.08.2015   76
18.08.2015   62
19.08.2015   57
20.08.2015   52
21.08.2015   57
22.08.2015   69
23.08.2015   57
24.08.2015   55
25.08.2015   38
26.08.2015   30
27.08.2015   34
28.08.2015   58
29.08.2015   54
30.08.2015
31.08.2015    64
01.09.2015    66
02.09.2015    36
03.09.2015    43
04.09.2015    46
05.09.2015    33
06.09.2015    19
07.09.2015    28
08.09.2015    34
09.09.2015    34
10.09.2015    53
11.09.2015    67
12.09.2015    60
13.09.2015    51
14.09.2015    56
15.09.2015    46
16.09.2015    58
17.09.2015    48
18.09.2015    30
19.09.2015    50
20.09.2015    30
21.09.2015    42
22.09.2015    54
23.09.2015    52
24.09.2015    39
25.09.2015    53
26.09.2015    46
27.09.2015    35
28.09.2015    46
29.09.2015    55
30.09.2015    64
01.10.2015    90
02.10.2015   116
03.10.2015    95
04.10.2015    81
05.10.2015    95
06.10.2015   138
07.10.2015    94
08.10.2015    75
09.10.2015    80
10.10.2015    73
11.10.2015    69
12.10.2015    83
13.10.2015   101
14.10.2015   135
15.10.2015   110
16.10.2015   101
17.10.2015    70
18.10.2015   98
19.10.2015   112
20.10.2015    92
21.10.2015    73
22.10.2015    74
23.10.2015
24.10.2015
25.10.2015
26.10.2015
27.10.2015
28.10.2015
29.10.2015
30.10.2015
31.10.2015
01.11.2015
02.11.2015   156
03.11.2015   175
04.11.2015   225
05.11.2015   217
06.11.2015   193
07.11.2015   136
08.11.2015    53
09.11.2015    68
10.11.2015    33
11.11.2015    36
12.11.2015    61
13.11.2015    89
14.11.2015    37
15.11.2015    30
16.11.2015    65
17.11.2015    58
18.11.2015    34
19.11.2015    40
20.11.2015    42
21.11.2015    70
22.11.2015    84
23.11.2015   101
24.11.2015    92
25.11.2015   114
26.11.2015   139
27.11.2015   157
28.11.2015   135
29.11.2015    46
30.11.2015    39
01.12.2015    40
02.12.2015    63
03.12.2015    92
04.12.2015    75
05.12.2015    73
06.12.2015    52
07.12.2015    89
08.12.2015   122
09.12.2015    68
10.12.2015    90
11.12.2015    93
12.12.2015    50
13.12.2015    40
14.12.2015    86
15.12.2015   147
16.12.2015   153
17.12.2015    77
18.12.2015    67
19.12.2015    82
20.12.2015    95
21.12.2015    64
22.12.2015    46
23.12.2015    51
24.12.2015    99
25.12.2015    61
26.12.2015    47
27.12.2015   59
28.12.2015   75
29.12.2015   73
30.12.2015   98
01.01.2016
02.01.2016   113
03.01.2016   135
04.01.2016   168
05.01.2016   172
06.01.2016   188
07.01.2016   194
08.01.2016   108
09.01.2016   137
10.01.2016   179
11.01.2016   138
12.01.2016    99
13.01.2016    62
14.01.2016    97
15.01.2016   140
16.01.2016    99
17.01.2016   125
18.01.2016   135
19.01.2016   173
20.01.2016   137
21.01.2016    80
22.01.2016   137
23.01.2016   146
24.01.2016   133
25.01.2016    90
26.01.2016    91
27.01.2016    68
28.01.2016    58
29.01.2016    73
30.01.2016    44
31.01.2016    42
01.02.2016    62
02.02.2016    38
03.02.2016    43
04.02.2016    51
05.02.2016    67
06.02.2016    77
07.02.2016    76
08.02.2016    56
09.02.2016    44
10.02.2016    49
11.02.2016    50
12.02.2016    86
13.02.2016   152
14.02.2016   128
15.02.2016   108
16.02.2016    79
17.02.2016   114
18.02.2016   131
19.02.2016   105
20.02.2016    77
21.02.2016    39
22.02.2016    37
23.02.2016    51
24.02.2016    54
25.02.2016    96
26.02.2016    88
27.02.2016   138
28.02.2016   146
29.02.2016   112
01.03.2016    85
02.03.2016   117
03.03.2016    97
04.03.2016   124
05.03.2016   143
06.03.2016   96
07.03.2016   81
08.03.2016    91
09.03.2016    92
10.03.2016   110
11.03.2016    98
12.03.2016    92
13.03.2016   100
14.03.2016   110
15.03.2016    75
16.03.2016   102
17.03.2016   158
18.03.2016   110
19.03.2016    74
20.03.2016    68
21.03.2016    57
22.03.2016    59
23.03.2016    88
24.03.2016   101
25.03.2016   135
26.03.2016   111
27.03.2016   100
28.03.2016    70
29.03.2016    55
30.03.2016    60
31.03.2016    74
01.04.2016    66
02.04.2016    99
03.04.2016    98
04.04.2016   111
05.04.2016   124
06.04.2016    78
07.04.2016    57
08.04.2016    62
09.04.2016    83
10.04.2016    73
11.04.2016    80
12.04.2016   133
13.04.2016   121
14.04.2016    75
15.04.2016    74
16.04.2016    55
17.04.2016    69
18.04.2016    54
19.04.2016    64
20.04.2016    46
21.04.2016    65
22.04.2016    63
23.04.2016    89
24.04.2016    45
25.04.2016    59
26.04.2016    54
27.04.2016    60
28.04.2016    54
29.04.2016    74
30.04.2016    76
01.05.2016    70
02.05.2016    70
03.05.2016    70
04.05.2016    52
05.05.2016    50
06.05.2016    70
07.05.2016    58
08.05.2016    53
09.05.2016    47
10.05.2016    50
11.05.2016    50
12.05.2016    48
13.05.2016    49
14.05.2016   47
15.05.2016   33
16.05.2016   35

17.05.2016   39
18.05.2016   59
19.05.2016   77
20.05.2016   79
21.05.2016   53
22.05.2016   58
23.05.2016   54
24.05.2016   61
25.05.2016   59
26.05.2016   63
27.05.2016   65
28.05.2016   65
29.05.2016   47
30.05.2016   62
31.05.2016   56
01.06.2016   36
02.06.2016   42
03.06.2016   55
04.06.2016   59
05.06.2016   54
06.06.2016   29
07.06.2016   40
08.06.2016   46
09.06.2016   40
10.06.2016   49
11.06.2016   40
12.06.2016   54
13.06.2016   51
14.06.2016   45
15.06.2016   42
16.06.2016   30
17.06.2016   38
18.06.2016   33
19.06.2016   38
20.06.2016   46
21.06.2016   45
22.06.2016   43
23.06.2016   59
24.06.2016   77
25.06.2016   71
26.06.2016   37
27.06.2016   50
28.06.2016   50
29.06.2016
30.06.2016
01.07.2016   71
02.07.2016   62
03.07.2016   47
04.07.2016   35
05.07.2016   52
06.07.2016
07.07.2016
08.07.2016
09.07.2016
10.07.2016
11.07.2016   76
12.07.2016   59
13.07.2016   45
14.07.2016   27
15.07.2016   26
16.07.2016   26
17.07.2016   36
18.07.2016   37
19.07.2016   36
20.07.2016   33
21.07.2016   47
22.07.2016   41
23.07.2016   47
24.07.2016   65
25.07.2016   66

26.07.2016   64
27.07.2016   58
28.07.2016   54
29.07.2016   54
30.07.2016   29
31.07.2016   36
01.08.2016   27
02.08.2016   34
03.08.2016   36
04.08.2016   27
05.08.2016   43
06.08.2016   20
07.08.2016   30
08.08.2016   40
09.08.2016   41
10.08.2016   37
11.08.2016   30
12.08.2016   36
13.08.2016   22
14.08.2016   33
15.08.2016   24
16.08.2016   35
17.08.2016   38
18.08.2016   40
19.08.2016   50
20.08.2016   51
21.08.2016   37
22.08.2016   30
23.08.2016   47
24.08.2016   40
25.08.2016   38
26.08.2016   45
27.08.2016   40
28.08.2016   67
29.08.2016   43
30.08.2016   26
31.08.2016   43
01.09.2016   52
02.09.2016   57
03.09.2016   59
04.09.2016   39
05.09.2016   18
06.09.2016   34
07.09.2016   52
08.09.2016   66
09.09.2016   61
10.09.2016   74
11.09.2016   75
12.09.2016   81
13.09.2016   78
14.09.2016   54
15.09.2016   51
16.09.2016   80
17.09.2016   80
18.09.2016   58
19.09.2016   71
20.09.2016   66
21.09.2016   51
22.09.2016   58
23.09.2016   70
24.09.2016   86
25.09.2016   76
26.09.2016   56
27.09.2016   95
28.09.2016   81
29.09.2016    27
30.09.2016    40
01.10.2016    51
02.10.2016    38
03.10.2016    28
04.10.2016    25
05.10.2016    25
06.10.2016    35
07.10.2016    79
08.10.2016    57
09.10.2016    39
10.10.2016    47
11.10.2016    64
12.10.2016    35
13.10.2016    64
14.10.2016    81
15.10.2016    77
16.10.2016    76
17.10.2016    84
18.10.2016    97
19.10.2016    81
20.10.2016    73
21.10.2016    89
22.10.2016    98
23.10.2016    99
24.10.2016   103
25.10.2016    90
26.10.2016    90
27.10.2016    98
28.10.2016    76
29.10.2016    35
30.10.2016    41
31.10.2016    55
01.11.2016    53
